Abbreviation,Brand
ACU,Acura
ALF,Alfa Romeo
AMC,AMC
AST,Aston Martin
AUD,Audi
BMW,BMW
BEN,Bentley
BUC,Buick
BYD,BYD
CAD,Cadillac
CHE,Chevrolet
CHR,Chrysler
CIT,Citroën
DAC,Dacia
DAE,Daewoo
DAI,Daihatsu
DOG,Dodge
FER,Ferrari
FIT,Fiat
FOR,Ford
GEE,Geely
GMC,GMC
GEN,Genesis
GAC,GAC
HLD,Holden
HON,Honda
HYU,Hyundai
AUH,Austin-Healey
INF,Infiniti
IZU,Isuzu
JAG,Jaguar
JEE,Jeep
KIA,Kia
KON,Koenigsegg
LAD,Lada
LAM,Lamborghini
LAN,Lancia
LAN,Land Rover
LRV,Land Rover
LEX,Lexus
LIN,Lincoln
LOT,Lotus
MAH,Mahindra
MAS,Maserati
MER,Mercury
MAZ,Mazda
MCL,McLaren
MBZ,Mercedes-Benz
MIN,Mini
MIT,Mitsubishi
NIO,NIO
NIS,Nissan
OPE,Opel
OLD,Oldsmobile
ORA,Ora
PAG,Pagani
PEU,Peugeot
POR,Porsche
PLY,Plymouth
RAM,Ram Trucks
REN,Renault
ROL,Rolls-Royce
SAB,Saab
SCI,Scion
SUB,Subaru
SUZ,Suzuki
SMA,Smart
TAT,Tata Motors
TRI,Triumph
TES,Tesla
TOY,Toyota
VAU,Vauxhall
VW,Volkswagen
VOL,Volvo
XPX,XPeng
