PartNumber,ASIN,Title,URL,Bullets,CharCount
178-8276,B0010HGZGU,Beck/Arnley 178-8276 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8276-Direct-Ignition/dp/B0010HGZGU,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8286,B0010HI40K,Beck/Arnley 178-8286 Direct Ignition Coil,https://www.amazon.com/dp/B0010HI40K,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8287,B0010HLVP0,Beck/Arnley 178-8287 Direct Ignition Coil,https://www.amazon.com/dp/B0010HLVP0,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8288,B0010HLVPK,Beck/Arnley 178-8288 Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8288-Ignition-Coil/dp/B0010HLVPK,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8290,B0010HJUIU,Beck/Arnley 178-8290 Direct Ignition Coil,https://www.amazon.com/dp/B0010HJUIU,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8292,B002ICASQO,Beck/Arnley 178-8292 Direct Ignition Coil,https://www.amazon.com/dp/B002ICASQO,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8293,B0010HI40U,Beck/Arnley 178-8293 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8293-Direct-Ignition/dp/B0010HI40U,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8294,B0010HI41O,Beck/Arnley 178-8294 Direct Ignition Coil,https://www.amazon.com/dp/B0010HI41O,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8296,B0010HNRSO,Beck/Arnley 178-8296 Direct Ignition Coil,https://www.amazon.com/dp/B0010HNRSO,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8297,B0010HJUJE,Beck/Arnley 178-8297 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8297-Direct-Ignition/dp/B0010HJUJE,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8300,B0010HJUJ4,Beck/Arnley 178-8300 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8300-Direct-Ignition/dp/B0010HJUJ4,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8302,B001O0CIU0,Beck/Arnley 178-8302 Direct Ignition Coil,https://www.amazon.com/dp/B001O0CIU0,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8303,B001DUEX54,Beck/Arnley 178-8303 Direct Ignition Coil,https://www.amazon.com/dp/B001DUEX54,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8304,B001DUGT38,Beck/Arnley 178-8304 Direct Ignition Coil,https://www.amazon.com/dp/B001DUGT38,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8305,B001DUIVCK,Beck/Arnley 178-8305 Direct Ignition Coil,https://www.amazon.com/dp/B001DUIVCK,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8306,B0027ACR1G,Beck/Arnley 178-8306 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8306-Direct-Ignition/dp/B0027ACR1G,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8307,B001O0GBVM,Beck/Arnley 178-8307 Direct Ignition Coil,https://www.amazon.com/dp/B001O0GBVM,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8309,B002E51UMG,Beck/Arnley 178-8309 Direct Ignition Coil,https://www.amazon.com/dp/B002E51UMG,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8310,B001UEDHR8,Beck/Arnley 178-8310 Direct Ignition Coil,https://www.amazon.com/dp/B001UEDHR8,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8313,B002E58QFA,Beck/Arnley 178-8313 Direct Ignition Coil,https://www.amazon.com/dp/B002E58QFA,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8314,B002E571VA,Beck/Arnley 178-8314 Direct Ignition Coil,https://www.amazon.com/dp/B002E571VA,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8315,B001UEJK7Y,Beck/Arnley 178-8315 Direct Ignition Coil,https://www.amazon.com/dp/B001UEJK7Y,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8316,B08MCND7SL,Set of 4 Beck Arnley 178-8316 Ignition Coils,https://www.amazon.com/Beck-Arnley-178-8316-Ignition-Coils/dp/B08MCND7SL,"Matches OE form, fit, and function | Manufactured from premium materials to withstand high temperatures | 100% copper in both primary and secondary windings | Out of the box and straight onto the vehicle for easy installation | Application specific to ensure a correct fit for your vehicle",285
178-8317,B0B2ZCZVBV,FITS 178-8317 Beck Arnley New Ignition Coils for Infiniti G35 Nissan 350Z FX35 M35,https://www.amazon.com/178-8317-Arnley-Ignition-Infiniti-Nissan/dp/B0B2ZCZVBV,"*** Please Check fitment for your vehicle Year/Make/Model on compatibility dropdown / chart. No modification necessary. Images depict actual item and necessary components *** | Direct Replacement | Fits Part Numbers: 178-8317 / 16521382 | 1-year, unlimited-mileage warranty | This Brand New Ignition Coil is built according to the highest standards of quality and precise specifications.",383
178-8318,B001UEHME2,Beck/Arnley 178-8318 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8318-Direct-Ignition/dp/B001UEHME2,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8320,B002V94VYY,Beck/Arnley 178-8320 Direct Ignition Coil,https://www.amazon.com/dp/B002V94VYY,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8328,B002IC829E,Beck/Arnley 178-8328 Direct Ignition Coil,https://www.amazon.com/dp/B002IC829E,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8329,B002IC96U8,Beck/Arnley 178-8329 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8329-Direct-Ignition/dp/B002IC96U8,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8332,B002IC82FS,Beck/Arnley 178-8332 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8332-Direct-Ignition/dp/B002IC82FS,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8333,B00F5DA8BI,Beck Arnley 178-8333 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8333-Direct-Ignition/dp/B00F5DA8BI,N/A,0
178-8335,B002V94W7K,Beck/Arnley 178-8335 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8335-Direct-Ignition/dp/B002V94W7K,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8337,B004VLMFNO,Beck/Arnley 178-8337 Direct Ignition Coil,https://www.amazon.com/dp/B004VLMFNO,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8338,B004VLMGRY,Beck/Arnley 178-8338 Direct Ignition Coil,https://www.amazon.com/dp/B004VLMGRY,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8339,B004DVI1K8,Beck/Arnley 178-8339 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8339-Direct-Ignition/dp/B004DVI1K8,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
